bigcommerce_product_id,shopify_product_id,shopify_variant_id,sku,handle,title
154,10201315541306,53038663008570,FGD-0070-INT,24vdc-power-supply-accessory-for-4-20ma-sensors-w-battery-backup,"24VDC Power Supply Accessory for 4-20mA Sensors w/ Battery Backup"
278,10201322029370,53038695874874,SCD-1200-3YCELL,3-year-sentinel-cellular-subscription,"3 Year Sentinel Cellular Subscription"
284,10201322258746,53038696759610,SCD-1200-3YETH,3-year-sentinel-premium-ethernet-subscription,"3 Year Sentinel Premium Ethernet Subscription"
296,10201322848570,53038699413818,SCD-PRO-3YCELL,3-year-sentinel-pro-cellular-subscription,"3 Year Sentinel Pro Cellular Subscription"
290,10201322553658,53038697939258,SCD-PRO-3YETH,3-year-sentinel-pro-premium-ethernet-subscription,"3 Year Sentinel Pro Premium Ethernet Subscription"
302,10201323077946,53038700626234,SNT-0500-3YCELL,3-year-sentry-cellular-subscription,"3 Year Sentry Cellular Subscription"
272,10201321832762,53038695022906,EMS-7600-3YETH,3-year-stratus-ems-premium-ethernet-subscription,"3 Year Stratus EMS Premium Ethernet Subscription"
189,10201317409082,53038672118074,FGD-0261,3g-4g-lte-external-antenna,"3G/4G/LTE External Antenna"
279,10201322062138,53038695973178,SCD-1200-4YCELL,4-year-sentinel-cellular-subscription,"4 Year Sentinel Cellular Subscription"
285,10201322291514,53038696857914,SCD-1200-4YETH,4-year-sentinel-premium-ethernet-subscription,"4 Year Sentinel Premium Ethernet Subscription"
297,10201322881338,53038699643194,SCD-PRO-4YCELL,4-year-sentinel-pro-cellular-subscription,"4 Year Sentinel Pro Cellular Subscription"
291,10201322619194,53038698135866,SCD-PRO-4YETH,4-year-sentinel-pro-premium-ethernet-subscription,"4 Year Sentinel Pro Premium Ethernet Subscription"
303,10201323143482,53038700757306,SNT-0500-4YCELL,4-year-sentry-cellular-subscription,"4 Year Sentry Cellular Subscription"
273,10201321865530,53038695186746,EMS-7600-4YETH,4-year-stratus-ems-premium-ethernet-subscription,"4 Year Stratus EMS Premium Ethernet Subscription"
152,10201315377466,53038662091066,FGD-0068-20K,4-20ma-0-20k-carbon-dioxide-co2-transmitter,"4-20mA 0-20k Carbon Dioxide (CO2) Transmitter"
150,10201315246394,53038661632314,FGD-0068-DUCT,4-20ma-duct-mount-carbon-dioxide-co2-transmitter,"4-20mA Duct Mount Carbon Dioxide (CO2) Transmitter"
151,10201315311930,53038662058298,FGD-0068-OD,4-20ma-outdoor-carbon-dioxide-co2-transmitter,"4-20mA Outdoor Carbon Dioxide (CO2) Transmitter"
149,10201315180858,53038661239098,FGD-0068,4-20ma-type-carbon-dioxide-co2-sensor,"4-20mA Type Carbon Dioxide (CO2) Sensor"
147,10201315082554,53038660780346,FGD-0065,4-20ma-type-carbon-monoxide-sensor,"4-20mA Type Carbon Monoxide Sensor"
145,10201314918714,53038660223290,FGD-0059-OD,4-20ma-type-dew-point-sensor,"4-20mA Type Dew Point Sensor"
191,10201317638458,53038673002810,FGD-0302-WALL,4-20ma-type-differential-pressure-sensor,"4-20mA Type Differential Pressure Sensor"
191,10201317638458,53038673035578,FGD-0302-DUCT,4-20ma-type-differential-pressure-sensor,"4-20mA Type Differential Pressure Sensor"
182,10201317015866,53038670250298,FGD-0223-1,4-20ma-type-dual-flow-and-temperature-sensor,"4-20mA Type Dual Flow & Temperature Sensor"
182,10201317015866,53038670283066,FGD-0223-4,4-20ma-type-dual-flow-and-temperature-sensor,"4-20mA Type Dual Flow & Temperature Sensor"
153,10201315508538,53038662811962,FGD-0069-DUCT,4-20ma-type-duct-mount-air-flow-transmitter,"4-20mA Type Duct Mount Air Flow Transmitter"
139,10201314492730,53038658584890,FGD-0052-DUCT,4-20ma-type-duct-mount-humidity-sensor,"4-20mA Type Duct Mount Humidity Sensor"
137,10201314263354,53038657339706,FGD-0052,4-20ma-type-humidity-sensor,"4-20mA Type Humidity Sensor"
138,10201314427194,53038658191674,FGD-0052-OD,4-20ma-type-outdoor-humidity-transmitter,"4-20mA Type Outdoor Humidity Sensor"
190,10201317474618,53038672281914,FGD-0301,4-20ma-type-pressure-sensor,"4-20mA Type Pressure Sensor"
159,10201315770682,53038664089914,FGD-0090,4-20ma-type-soil-moisture-sensor,"4-20mA Type Soil Moisture Sensor"
158,10201315672378,53038663729466,FGD-0075-50,4-20ma-type-split-core-current-sensor,"4-20mA Type Split Core Current Sensor"
158,10201315672378,53038663762234,FGD-0075-200,4-20ma-type-split-core-current-sensor,"4-20mA Type Split Core Current Sensor"
193,10201317769530,53038673592634,"FGD-0303, FGD-0303-MOUNT",4-20ma-type-vibration-sensor,"4-20mA Type Vibration Sensor"
193,10201317769530,53038673625402,FGD-0303,4-20ma-type-vibration-sensor,"4-20mA Type Vibration Sensor"
265,10201321505082,53038692172090,FGD-4GLTE-AT,4g-lte-cell-modem-for-sensaphone-cloud-devices,"4G/LTE Cell Modem for Sensaphone Cloud Devices"
265,10201321505082,53038692204858,FGD-4GLTE-VZ,4g-lte-cell-modem-for-sensaphone-cloud-devices,"4G/LTE Cell Modem for Sensaphone Cloud Devices"
265,10201321505082,53038692237626,FGD-4GLTE-RW,4g-lte-cell-modem-for-sensaphone-cloud-devices,"4G/LTE Cell Modem for Sensaphone Cloud Devices"
188,10201317343546,53038671724858,FGD-0260,4g-lte-high-gain-omni-directional-antenna,"4G/LTE High Gain Omni Directional Antenna"
280,10201322094906,53038696137018,SCD-1200-5YCELL,5-year-sentinel-cellular-subscription,"5 Year Sentinel Cellular Subscription"
286,10201322389818,53038697054522,SCD-1200-5YETH,5-year-sentinel-premium-ethernet-subscription,"5 Year Sentinel Premium Ethernet Subscription"
298,10201322914106,53038699872570,SCD-PRO-5YCELL,5-year-sentinel-pro-cellular-subscription,"5 Year Sentinel Pro Cellular Subscription"
292,10201322651962,53038698398010,SCD-PRO-5YETH,5-year-sentinel-pro-premium-ethernet-subscription,"5 Year Sentinel Pro Premium Ethernet Subscription"
304,10201323176250,53038700888378,SNT-0500-5YCELL,5-year-sentry-cellular-subscription,"5 Year Sentry Cellular Subscription"
274,10201321898298,53038695285050,EMS-7600-5YETH,5-year-stratus-ems-premium-ethernet-subscription,"5 Year Stratus EMS Premium Ethernet Subscription"
131,10201313935674,53038655668538,FGD-0010,accessory-wire,"Accessory Wire"
131,10201313935674,53038655701306,FGD-0010-500,accessory-wire,"Accessory Wire"
181,10201316950330,53038669594938,FGD-0222,contact-type-float-level-switch,"Contact Type Float Level Switch"
135,10201314132282,53038656618810,FGD-0027,contact-type-humidistat-humidity-switch,"Contact Type Humidistat Humidity Switch"
130,10201313870138,53038655439162,FGD-0007-HW,contact-type-infrared-motion-detection-sensor,"Contact Type Infrared Motion Detection Sensor"
116,10201311740218,53038643708218,FGD-0006,contact-type-magnetic-reed-door-and-window-switch,"Contact Type Magnetic Reed Door and Window Switch"
141,10201314591034,53038658879802,FGD-0054,contact-type-powerout-alert-power-failure-switch,"Contact Type PowerOut Alert Power Failure Switch"
136,10201314197818,53038656979258,FGD-0049-SQ,contact-type-smoke-detector-sensor,"Contact Type Smoke Detector Sensor"
133,10201314001210,53038656061754,FGD-0013,contact-type-spot-water-detection-sensor,"Contact Type Spot Water Detection Sensor"
134,10201314099514,53038656454970,FGD-0022,contact-type-temp-alert-temperature-switch,"Contact Type Temp Alert Temperature Switch"
143,10201314754874,53038659567930,FGD-0056,contact-type-zone-water-detection-sensor,"Contact Type Zone Water Detection Sensor"
156,10201315606842,53038663434554,FGD-0071,din-rail-mount-24v-power-supply-accessory,"Din Rail Mount 24V Power Supply"
200,10201318097210,53038674575674,FGD-0325,dissolved-oxygen-transducer,"Dissolved Oxygen Transducer"
118,10201312231738,53038644789562,FGD-0250-U,ethernet-to-wifi-adapter-accessory,"Ethernet-to-WiFi Adapter Accessory"
144,10201314787642,53038659666234,FGD-0057,external-microphone-attachment,"External Microphone Attachment"
231,10201319899450,53038682374458,IMS-4402E,ims-cat5-patch-cable,"IMS CAT5 Patch Cable"
231,10201319899450,53038682407226,IMS-4403E,ims-cat5-patch-cable,"IMS CAT5 Patch Cable"
231,10201319899450,53038682439994,IMS-4404E,ims-cat5-patch-cable,"IMS CAT5 Patch Cable"
234,10201319964986,53038682734906,IMS-4405E,ims-rj45-cable-couplers-f-f,"IMS RJ45 Cable Couplers (F/F)"
254,10201321242938,53038690894138,IMS-4851E,ims-solution-4-20ma-interface,"IMS Solution 4-20mA Interface"
258,10201321472314,53038691877178,IMS-4863E,ims-solution-air-flow-sensor,"IMS Solution Air Flow Sensor"
253,10201321144634,53038690468154,IMS-4850E,ims-solution-dry-contact-interface,"IMS Solution Dry Contact Interface"
252,10201321013562,53038689976634,IMS-4840E,ims-solution-external-power-failure-sensor,"IMS Solution External Power Failure Sensor"
237,10201320292666,53038684209466,IMS-4810E,ims-solution-indoor-temperature-sensors,"IMS Solution Indoor Temperature Sensors"
237,10201320292666,53038684242234,IMS-4810E-C,ims-solution-indoor-temperature-sensors,"IMS Solution Indoor Temperature Sensors"
237,10201320292666,53038684275002,IMS-4811E,ims-solution-indoor-temperature-sensors,"IMS Solution Indoor Temperature Sensors"
237,10201320292666,53038684307770,IMS-4813E,ims-solution-indoor-temperature-sensors,"IMS Solution Indoor Temperature Sensors"
256,10201321341242,53038691352890,IMS-4861E,ims-solution-infrared-motion-detection-sensor,"IMS Solution Infrared Motion Detection Sensor"
255,10201321308474,53038691189050,IMS-4860E,ims-solution-magnetic-reed-door-and-window-switch,"IMS Solution Magnetic Reed Door and Window Switch"
241,10201320358202,53038684569914,IMS-4812E,ims-solution-mini-temperature-sensor,"IMS Solution Mini Temperature Sensor"
241,10201320358202,53038684602682,IMS-4812E-C,ims-solution-mini-temperature-sensor,"IMS Solution Mini Temperature Sensor"
248,10201320751418,53038688731450,IMS-4820E,ims-solution-room-humidity-sensor,"IMS Solution Room Humidity Sensor"
248,10201320751418,53038688764218,IMS-4821E,ims-solution-room-humidity-sensor,"IMS Solution Room Humidity Sensor"
257,10201321406778,53038691549498,IMS-4862E,ims-solution-smoke-detection-sensor,"IMS Solution Smoke Detection Sensor"
247,10201320620346,53038688010554,IMS-4816E,ims-solution-temperature-sensor-w-external-probe,"IMS Solution Temperature Sensor w/ External Probe"
243,10201320456506,53038687289658,IMS-4814E-NIST,ims-solution-ultra-low-temperature-sensor,"IMS Solution Ultra Low Temperature Sensor"
243,10201320456506,53038687322426,IMS-4815E-NIST,ims-solution-ultra-low-temperature-sensor,"IMS Solution Ultra Low Temperature Sensor"
243,10201320456506,53038687355194,IMS-4814E,ims-solution-ultra-low-temperature-sensor,"IMS Solution Ultra Low Temperature Sensor"
243,10201320456506,53038687387962,IMS-4815E,ims-solution-ultra-low-temperature-sensor,"IMS Solution Ultra Low Temperature Sensor"
250,10201320849722,53038689255738,IMS-4830E,ims-solution-zone-water-detection-sensor,"IMS Solution Zone Water Detection Sensor"
236,10201320030522,53038682931514,IMS-4407E,ims-4000-db9-null-modem-cable,"IMS-4000 DB9 Null Modem Cable"
228,10201319768378,53038681719098,IMS-4310E,ims-4000-dual-relay-output-module,"IMS-4000 Dual Relay Output Module"
226,10201319604538,53038681030970,IMS-4002E,ims-4000-enterprise-monitoring-node-expansion-unit,"IMS-4000 Enterprise Monitoring Node Expansion Unit"
226,10201319604538,53038681063738,IMS-4003E,ims-4000-enterprise-monitoring-node-expansion-unit,"IMS-4000 Enterprise Monitoring Node Expansion Unit"
229,10201319866682,53038682308922,IMS-4010E,ims-4000-node-w-dry-contact-inputs,"IMS-4000 Node w/ Dry Contact Inputs"
229,10201319866682,53038682341690,IMS-4010E-INT,ims-4000-node-w-dry-contact-inputs,"IMS-4000 Node w/ Dry Contact Inputs"
235,10201319997754,53038682833210,IMS-4406E,ims-4000-wall-mount-bracket,"IMS-4000 Wall Mount Bracket"
305,10201323209018,53038701052218,,invoice-payment,"Invoice Payment"
179,10201316753722,53038668874042,FGD-0220,j-type-thermocouple-4-20ma-converter,"J Type Thermocouple / 4-20mA Converter"
171,10201316360506,53038666875194,FGD-0110,modbus-type-temperature-and-humidity-combination-sensor,"Modbus Type Temperature and Humidity Combination Sensor"
196,10201317933370,53038673953082,FGD-0315,orp-sensor-4-20ma-fixed,"ORP Sensor 4-20mA Fixed"
195,10201317835066,53038673756474,FGD-0305,ph-sensor-4-20ma-fixed,"PH Sensor 4-20mA Fixed"
224,10201319473466,53038680441146,XFR-0047,power-supply-for-wsg30-wireless-sensor-gateway,"Power Supply for WSG30 Wireless Sensor Gateway"
222,10201319407930,53038680310074,XFR-0041,power-supply-for-wsg30-wireless-sensors,"Power Supply for WSG30 Wireless Sensors"
225,10201319539002,53038680703290,XFR-0048,power-supply-for-wsg30-wireless-sensors-for-220vac,"Power Supply for WSG30 Wireless Sensors for 220VAC"
223,10201319440698,53038680375610,XFR-0046,power-supply-for-wsg30-wireless-zone-water-sensor-only,"Power Supply for WSG30 Wireless Zone Water Sensor Only"
306,10201323241786,53038701117754,WEBREG-SETUP,subscription-registration-fee,"Pro-rated Subscription Discount"
307,10201323274554,53038701248826,,quoted-shipping,"Quoted Shipping"
184,10201317245242,53038671167802,FGD-0240,rtd-probe-with-4-20ma-transmitter,"RTD Probe with 4-20mA Transmitter"
184,10201317245242,53038671200570,FGD-0240-14,rtd-probe-with-4-20ma-transmitter,"RTD Probe with 4-20mA Transmitter"
184,10201317245242,53038671233338,FGD-0240-SPEC,rtd-probe-with-4-20ma-transmitter,"RTD Probe with 4-20mA Transmitter"
184,10201317245242,53038671266106,FGD-0240-14SPEC,rtd-probe-with-4-20ma-transmitter,"RTD Probe with 4-20mA Transmitter"
129,10201313804602,53038654685498,FGD-1400-CD,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654718266,FGD-1400-SD,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654751034,FGD-1800-CD,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654783802,FGD-1800-SD,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654816570,FGD-1400-CD-INT,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654849338,FGD-1400-SD-INT,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654882106,FGD-1800-CD-INT,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
129,10201313804602,53038654914874,FGD-1800-SD-INT,sensaphone-1400-and-1800-monitoring-systems,"Sensaphone 1400 & 1800 Monitoring Systems"
121,10201312821562,53038648787258,FGD-0400,sensaphone-400-and-800-monitoring-systems,"Sensaphone 400 & 800 Monitoring Systems"
121,10201312821562,53038648820026,FGD-0800,sensaphone-400-and-800-monitoring-systems,"Sensaphone 400 & 800 Monitoring Systems"
121,10201312821562,53038648852794,FGD-0400-INT,sensaphone-400-and-800-monitoring-systems,"Sensaphone 400 & 800 Monitoring Systems"
121,10201312821562,53038648885562,FGD-0800-INT,sensaphone-400-and-800-monitoring-systems,"Sensaphone 400 & 800 Monitoring Systems"
124,10201313083706,53038650917178,IMS-4001E,sensaphone-ims-4000e-enterprise-monitoring-host,"Sensaphone IMS-4000E Enterprise Monitoring Host"
111,10201307316538,53038608351546,SCD-1200-CD,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
111,10201307316538,53038608384314,SCD-1200-CD-INT,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
111,10201307316538,53038608417082,SCD-1200-SD,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
111,10201307316538,53038608449850,SCD-1200-SD-INT,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
111,10201307316538,53038608482618,SCD-1200,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
111,10201307316538,53038608515386,SCD-1200-INT,sensaphone-sentinel-monitoring-system,"Sensaphone Sentinel Monitoring System"
112,10201307906362,53038615593274,SCD-1200-4GATCD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
112,10201307906362,53038615626042,SCD-1200-4GVZCD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
112,10201307906362,53038615658810,SCD-1200-4GRWCD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
112,10201307906362,53038615691578,SCD-1200-4GATSD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
112,10201307906362,53038615724346,SCD-1200-4GVZSD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
112,10201307906362,53038615757114,SCD-1200-4GRWSD,sensaphone-sentinel-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Monitoring System with Cellular Modem"
113,10201308430650,53038622081338,SCD-PRO-CD,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
113,10201308430650,53038622114106,SCD-PRO-CD-INT,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
113,10201308430650,53038622146874,SCD-PRO-SD,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
113,10201308430650,53038622179642,SCD-PRO-SD-INT,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
113,10201308430650,53038622212410,SCD-PRO,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
113,10201308430650,53038622245178,SCD-PRO-INT,sensaphone-sentinel-pro-monitoring-system,"Sensaphone Sentinel Pro Monitoring System"
119,10201312493882,53038646526266,SCD-PRO-4GATCD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
119,10201312493882,53038646559034,SCD-PRO-4GVZCD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
119,10201312493882,53038646591802,SCD-PRO-4GRWCD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
119,10201312493882,53038646624570,SCD-PRO-4GATSD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
119,10201312493882,53038646657338,SCD-PRO-4GVZSD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
119,10201312493882,53038646690106,SCD-PRO-4GRWSD,sensaphone-sentinel-pro-monitoring-system-with-cellular-modem,"Sensaphone Sentinel Pro Monitoring System with Cellular Modem"
267,10201321636154,53038693908794,SNT-0500-ATCD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038693941562,SNT-0500-VZCD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038693974330,SNT-0500-CACD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694007098,SNT-0500-ATSD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694039866,SNT-0500-VZSD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694072634,SNT-0500-CASD,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694105402,SNT-0500-AT,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694138170,SNT-0500-VZ,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
267,10201321636154,53038694170938,SNT-0500-CA,sensaphone-sentry-monitoring-system-1,"Sensaphone Sentry Monitoring System"
120,10201312624954,53038647640378,EMS-7600,sensaphone-stratus-ems-monitoring-system,"Sensaphone Stratus EMS Monitoring System"
268,10201321668922,53038694433082,FGD-W610-B,sensaphone-web600-battery-backup,"Sensaphone WEB600 Battery Backup"
125,10201313345850,53038651965754,FGD-W600,sensaphone-web600-monitoring-system,"Sensaphone WEB600 Monitoring System"
125,10201313345850,53038651998522,FGD-W600-INT,sensaphone-web600-monitoring-system,"Sensaphone WEB600 Monitoring System"
126,10201313509690,53038652981562,FGD-WSG30-CD,sensaphone-wsg30-monitoring-system,"Sensaphone WSG30 Monitoring System"
126,10201313509690,53038653014330,FGD-WSG30,sensaphone-wsg30-monitoring-system,"Sensaphone WSG30 Monitoring System"
126,10201313509690,53038653047098,FGD-WSG30-INT-CD,sensaphone-wsg30-monitoring-system,"Sensaphone WSG30 Monitoring System"
126,10201313509690,53038653079866,FGD-WSG30-INT,sensaphone-wsg30-monitoring-system,"Sensaphone WSG30 Monitoring System"
266,10201321537850,53038692663610,FGD-WSG-LCDRM,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692696378,FGD-WSG-LCDT,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692729146,FGD-WSG-LCDTN,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692761914,FGD-WSG-LCD85,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692794682,FGD-WSG-LCD85N,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692827450,FGD-WSG-LCDR1,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
266,10201321537850,53038692860218,FGD-WSG-LCDR1N,sensaphone-wsg30-wireless-temperature-display,"Sensaphone WSG30 Wireless Temperature Display"
